name,category,city,latitude,longitude,description
Kölner Dom,Kultur,Köln,50.9413,6.9583,Gotisches Meisterwerk und UNESCO-Weltkulturerbe
Phantasialand,Freizeitpark,Brühl,50.7986,6.8797,Einer der größten Freizeitparks Deutschlands
Schloss Benrath,Kultur,Düsseldorf,51.1633,6.8711,Barockes Lustschloss mit Gartenanlage
Teutoburger Wald,Natur,Detmold,51.9333,8.8667,Historisches Waldgebirge mit Hermannsdenkmal
Baldeneysee,Natur,Essen,51.3950,7.0233,Stausee der Ruhr mit Freizeitmöglichkeiten
Altstadt Düsseldorf,Kultur,Düsseldorf,51.2254,6.7762,Längste Theke der Welt mit historischer Innenstadt
Schloss Nordkirchen,Kultur,Nordkirchen,51.7358,7.5281,Barockes Wasserschloss – das Versailles Westfalens
Externsteine,Natur,Horn-Bad Meinberg,51.8683,8.9181,Markante Felsformation im Teutoburger Wald
Xantener Dom,Kultur,Xanten,51.6579,6.4533,Romanisch-gotische Stiftskirche in der Römerstadt
Museum Ludwig,Kultur,Köln,50.9383,6.9594,Weltklasse-Sammlung moderner und zeitgenössischer Kunst
Volksgarten Düsseldorf,Park,Düsseldorf,51.2081,6.7858,Historischer Stadtpark mit Rosengarten
Nordpark Düsseldorf,Park,Düsseldorf,51.2456,6.7781,Japanischer Garten und weitläufige Parkanlage
Grugapark,Park,Essen,51.4289,6.9983,Botanischer Garten und Freizeitanlage
Westfalenpark,Park,Dortmund,51.4933,7.4908,Großer Stadtpark mit Fernsehturm Florian
Linnépark,Park,Krefeld,51.3319,6.5831,Historischer Park mit altem Baumbestand
Ruhrtalbahn,Radweg,Essen,51.4561,7.0131,Beliebter Radweg entlang der Ruhr
Rheinradweg,Radweg,Köln,50.9333,6.9500,Fernradweg am Rheinufer entlang
Burg Altena,Kultur,Altena,51.2967,7.6617,Erste Jugendherberge der Welt in mittelalterlicher Burg
Sauerland Seen,Natur,Meschede,51.3500,8.2833,Seenlandschaft mit Biggesee und Möhnesee
Zoo Köln,Tiere,Köln,50.9594,6.9736,Einer der ältesten Zoos Deutschlands
Zoo Dortmund,Tiere,Dortmund,51.5283,7.4561,Stadtpark und Tierpark in einem
Zoom Gelsenkirchen,Tiere,Gelsenkirchen,51.5286,7.0636,Erlebnispark mit Wildtieren aus aller Welt
Aquazoo Düsseldorf,Tiere,Düsseldorf,51.2522,6.7733,Aquarium und Zoomuseum
Tierpark Bochum,Tiere,Bochum,51.4658,7.2197,Familienfreundlicher Tierpark
Kölner Rheinufer,Park,Köln,50.9368,6.9578,Promenaden am Rheinufer mit Stadtblick
Stadtpark Münster,Park,Münster,51.9596,7.6253,Weitläufiger Park im Herzen der Stadt
Stadtgarten Köln,Park,Köln,50.9519,6.9389,Historischer Stadtgarten mit Konzertpavillon
Hirschpark Duisburg,Park,Duisburg,51.4458,6.7797,Weitläufiger Park mit freilaufenden Hirschen
Rochuspark,Park,Düsseldorf,51.2328,6.8039,Grüner Stadtpark im Düsseldorfer Osten
Revierpark Wischlingen,Park,Dortmund,51.5092,7.3994,Freizeitpark mit Schwimmbad und Minigolf
Kneippanlage Aachen,Wellness,Aachen,50.7681,6.0839,Heilendes Wasser im Herzen Aachens
Spa & Wellness Sieben Quellen,Wellness,Dortmund,51.4781,7.4789,Großes Wellnessangebot in der Ruhrmetropole
Caracalla Therme,Wellness,Bonn,50.7374,7.0982,Thermalbad und Saunabereich
Kaiser-Friedrich-Therme,Wellness,Wiesbaden,50.0819,8.2419,Historisches Thermalbad
Solebad Wünnenberg,Wellness,Bad Wünnenberg,51.5125,8.6994,Sole- und Erlebnisbad im Paderborner Land
Ruhr Park,Shopping,Bochum,51.4458,7.2058,Eines der größten Einkaufszentren Ruhrgebiet
Rhein-Ruhr-Zentrum,Shopping,Mülheim,51.4289,6.8994,Großes Einkaufscenter im Ruhrgebiet
Centro Oberhausen,Shopping,Oberhausen,51.4986,6.8617,Riesiges Einkaufs- und Freizeitzentrum
Nordwestpark Bochum,Shopping,Bochum,51.4978,7.2328,Modernes Einkaufszentrum
Kö-Bogen Düsseldorf,Shopping,Düsseldorf,51.2217,6.7797,Exklusives Shoppingerlebnis an der Königsallee
Siebengebirge,Natur,Bad Honnef,50.6483,7.2067,Naturpark mit dem Drachenfels und Rheinblick
Wahner Heide,Natur,Köln,50.8833,7.1500,Große Heide- und Moorlandschaft östlich von Köln
Arnsberger Wald,Natur,Arnsberg,51.3833,7.9667,Naturpark mit Wanderwegen im Sauerland
Felsenmeer Hemer,Natur,Hemer,51.3869,7.7794,Geologisches Naturdenkmal aus Kalkstein
Neandertal,Natur,Mettmann,51.2278,6.9958,Weltbekanntes Tal mit Neanderthaler-Museum
Altenberger Dom,Kultur,Odenthal,51.0664,7.1269,Gotisches Kirchenjuwel im Bergischen Land
Schloss Augustusburg,Kultur,Brühl,50.8258,6.9100,UNESCO-Welterbe Barockschloss
Villa Hügel,Kultur,Essen,51.4097,7.0203,Historisches Wohnhaus der Familie Krupp
Ruhrmuseum,Kultur,Essen,51.4456,6.9903,Kulturhistorisches Museum auf dem Welterbe Zollverein
Zeche Zollverein,Kultur,Essen,51.4844,7.0461,UNESCO-Welterbe und Kulturzentrum
